qmd	block_id	line	kind	section	words	disposition	target_slot	label	text
index.qmd	index-001-h1-overview	14	h1	Overview	1	keep	section-nav		Overview
index.qmd	index-002-paragraph-this-report-presents-an-integrative-analysis-of-single-nucleus	16	paragraph	Overview	42	schematic	fig-report-spine-schematic		This report presents an integrative analysis of single-nucleus RNA-seq, GeoMx spatial transcriptomics, and bulk proteomics and phosphoproteomics across four mouse models of Alzheimer's disease. It asks how amyloid reshapes microglia under different tau backgrounds, reading the tau-amyloid interaction across all four modalities.
index.qmd	index-003-paragraph-the-synthesis-comes-first-because-the-rebuilt-answer	21	paragraph	Overview	88	figure	fig-report-spine-schematic		The synthesis comes first because the rebuilt answer is compact: amyloid drives a homeostatic-to-DAM microglial programme; mutant tau modulates that response mainly as extra DAM-cell composition rather than supported further trajectory progression; Myc has focused RNA support; NF-kB attenuation and Gsk3b are not recovered; SpatialDecon abundance is blocked and full CCC is not called. The remaining chapters are the audit trail. QC checks the modality shapes and the single-nucleus genotype-by-batch design, then the microglia, trajectory, mechanism and cross-modality chapters show the evidence behind each synthesis row.
index.qmd	index-004-paragraph-the-analysis-is-built-on-a-reproducible-spine	29	paragraph	Overview	27	schematic	fig-report-spine-schematic		The analysis is built on a reproducible spine: a pinned R environment (rv), a pinned Python environment (uv), a targets pipeline, and this single self-contained Quarto report.
_synthesis.qmd	synthesis-001-h1-synthesis-the-compact-answer	1	h1	Synthesis: the compact answer	4	keep	section-nav		Synthesis: the compact answer
_synthesis.qmd	synthesis-002-paragraph-the-synthesis-table-has-claim-rows-the-supported	138	paragraph	Synthesis: the compact answer	26	schematic	fig-synthesis-visual-abstract		The synthesis table has   claim rows:  . The supported core is narrow by design, and the negative rows are part of the result rather than a supplement.
_synthesis.qmd	synthesis-003-caption-synthesis-status-counts-labels-are-descriptive-categories-over	146	caption	Synthesis: the compact answer	19	caption	fig-synthesis-status	fig-synthesis-status	Synthesis status counts. Labels are descriptive categories over the closed P1-P4 analyses; they are not a scored convergence ledger.
_synthesis.qmd	synthesis-004-caption-evidence-map-for-the-compact-synthesis-filled-tiles	160	caption	Synthesis: the compact answer	40	caption	fig-synthesis-evidence-map	fig-synthesis-evidence-map	Evidence map for the compact synthesis. Filled tiles show which compact chapter source is primary (P) or supporting (S) for each claim row; grey cells are not cited. Colours keep the closed claim status visible, including unsupported and unearned outcomes.
_synthesis.qmd	synthesis-005-paragraph-what-remains-unsupported-or-unearned-is-also-explicit	187	paragraph	Synthesis: the compact answer	58	figure	fig-synthesis-visual-abstract		What remains unsupported or unearned is also explicit:  . These limits keep the closed report focused on the rebuilt evidence: DAM activation and DAM-cell composition are the central interaction story; Myc is the focused RNA mechanism signal; NF-kB attenuation, Gsk3b, progression beyond composition, blocked SpatialDecon abundance, full CCC and run-order-sensitive bulk hits stay outside the supported claim set.
_qc.qmd	qc-001-h1-quality-control	1	h1	Quality control	2	keep	section-nav		Quality control
_qc.qmd	qc-002-paragraph-this-chapter-is-a-sanity-pass-over-the	3	paragraph	Quality control	92	collapsed_audit	collapsed-qc-audit		This chapter is a sanity pass over the four loaded modalities. It confirms that each target materialises at the expected shape, that the single-nucleus microglia carry a fully-crossed genotype-by-batch design, and that their per-nucleus quality metrics sit inside predeclared physical bounds. No reprocessing happens here: clustering, substate assignment and differential expression arrive in later phases. The bounds below are definitional rails (a count is at least one, a percentage lies in nought to a hundred), not analysis thresholds, so a breach signals a load or computation fault and stops the render.
_qc.qmd	qc-003-h2-modalities-loaded	28	h2	Modalities loaded	2	keep	section-nav		Modalities loaded
_qc.qmd	qc-004-paragraph-each-row-is-a-separately-stored-targets-object	30	paragraph	Modalities loaded	29	figure	qc-modality-table		Each row is a separately stored targets object; the dimensions are read straight from the materialised target, so this table doubles as a load check across all four assays.
_qc.qmd	qc-005-paragraph-geomx-genotype-tally-no-batch-axis-in-the	49	paragraph	Modalities loaded	15	figure	qc-modality-table		GeoMx genotype tally (no batch axis in the spatial design) and the proteomics key size:
_qc.qmd	qc-006-h2-snrnaseq-microglia-design-balance	61	h2	snRNAseq microglia: design balance	4	keep	section-nav		snRNAseq microglia: design balance
_qc.qmd	qc-007-paragraph-the-microglia-subset-should-form-a-complete-four-by	63	paragraph	snRNAseq microglia: design balance	26	figure	fig-qc-genotype-batch		The microglia subset should form a complete four-by-four genotype-by-batch grid with no empty cell; each of the 16 cells is a pseudobulk replicate downstream.
_qc.qmd	qc-008-caption-nuclei-per-genotype-and-batch-every-genotype-by-batch	76	caption	snRNAseq microglia: design balance	18	caption	fig-qc-genotype-batch	fig-qc-genotype-batch	Nuclei per genotype and batch. Every genotype-by-batch cell is populated, so all 16 pseudobulk replicates are estimable.
_qc.qmd	qc-009-h2-snrnaseq-microglia-quality-metrics	87	h2	snRNAseq microglia: quality metrics	4	keep	section-nav		snRNAseq microglia: quality metrics
_qc.qmd	qc-010-paragraph-library-size-and-complexity-per-nucleus-by-genotype	89	paragraph	snRNAseq microglia: quality metrics	19	figure	fig-qc-depth;fig-qc-fractions		Library size and complexity per nucleus, by genotype (log scale; precomputed on the raw object, carried through the subset):
_qc.qmd	qc-011-caption-per-nucleus-total-counts-and-detected-genes-by-genotype	96	caption	snRNAseq microglia: quality metrics	8	caption	fig-qc-depth	fig-qc-depth	Per-nucleus total counts and detected genes by genotype.
_qc.qmd	qc-012-paragraph-mitochondrial-ribosomal-malat1-and-non-microglial-contamination-fractions-per	109	paragraph	snRNAseq microglia: quality metrics	22	figure	fig-qc-depth;fig-qc-fractions		Mitochondrial, ribosomal, MALAT1 and non-microglial contamination fractions per nucleus, by genotype (linear scale; these motivate the QC thresholds applied later, not here):
_qc.qmd	qc-013-caption-per-nucleus-quality-fractions-by-genotype-shown-for-sanity	116	caption	snRNAseq microglia: quality metrics	16	caption	fig-qc-fractions	fig-qc-fractions	Per-nucleus quality fractions by genotype. Shown for sanity only; no nuclei are filtered in this phase.
_qc.qmd	qc-014-h2-sanity-bounds-enforced	131	h2	Sanity bounds (enforced)	3	keep	section-nav		Sanity bounds (enforced)
_qc.qmd	qc-015-paragraph-the-metric-rails-are-definitional-or-physical-declared	133	paragraph	Sanity bounds (enforced)	78	collapsed_audit	collapsed-qc-audit		The metric rails are definitional or physical, declared before inspecting the data: a count is at least one (no arbitrary upper ceiling); a detected-gene count is at least one and cannot exceed the genes assayed, nor the total counts; a percentage lies in nought to a hundred. The structural checks confirm the design grid, the canonical genotype factor and a one-to-one match between the 16 replicate ids and the genotype-by-batch cells. Any failure aborts the render.
_microglia.qmd	microglia-001-h1-microglia-amyloid-drives-a-homeostatic-to-dam-programme	1	h1	Microglia: amyloid drives a homeostatic-to-DAM programme	7	keep	section-nav		Microglia: amyloid drives a homeostatic-to-DAM programme
_microglia.qmd	microglia-002-paragraph-this-chapter-is-the-single-nucleus-core-of-the	3	paragraph	Microglia: amyloid drives a homeostatic-to-DAM programme	134	collapsed_audit	fig-microglia-summary-board		This chapter is the single-nucleus core of the study. From the reprocessed, batch-integrated microglia (SCT normalisation, Harmony over batch only) it places each nucleus into a canonical substate, tests whether substate composition shifts across the genotype contrasts, and runs pseudobulk differential expression to characterise the activation programme and to weigh the tau-by-amyloid interaction. The headline, supported three complementary ways below, is that amyloid (NLGF) drives microglia out of a homeostatic state into disease-associated microglia (DAM); mutant tau scales the size of that response without, on its own, redrawing the programme. One measurement caveat frames everything that follows: single-nucleus capture under-detects a sizeable share of DAM activation transcripts (Thrupp and colleagues, 2020), so DAM is read as a scored programme rather than thresholded gene by gene, and every differential test runs on raw counts.
_microglia.qmd	microglia-003-h2-substate-landscape	168	h2	Substate landscape	2	keep	section-nav		Substate landscape
_microglia.qmd	microglia-004-paragraph-ucell-scores-each-nucleus-against-the-canonical-homeostatic	170	paragraph	Substate landscape	93	figure	fig-microglia-umap-substate;fig-microglia-score-triptych		UCell scores each nucleus against the canonical homeostatic, DAM, interferon-response (IFN) and proliferative signatures; a per-signature calibration then assigns a primary substate at the cluster level (the per-cell argmax is noisier and kept only as a diagnostic). After dropping   contaminant or doublet nuclei (clusters  ),   nuclei remain. They resolve into   homeostatic,   DAM and   IFN nuclei; no cluster is proliferative-dominant, so that level carries no cells (sparse cycling markers average out at the cluster level rather than forming a coherent population). Each substate signature is scored on its genes found in the assay (  genes used).
_microglia.qmd	microglia-005-caption-microglia-substate-landscape-on-the-batch-integrated-umap-left	186	caption	Substate landscape	29	caption	fig-microglia-umap	fig-microglia-umap	Microglia substate landscape on the batch-integrated UMAP. Left: primary substate label. Right: the calibrated DAM activation score, which forms a continuous homeostatic-to-DAM gradient rather than a discrete switch.
_microglia.qmd	microglia-006-caption-genotype-faceted-substate-map-on-the-same-batch-integrated-umap	205	caption	Substate landscape	34	caption	fig-microglia-umap-substate	fig-microglia-umap-substate	Genotype-faceted substate map on the same batch-integrated UMAP. Amyloid-bearing genotypes occupy much more of the DAM-labelled region, with NLGF_P301S showing the largest DAM compartment. Labels are cluster-primary substates, not a per-cell hard threshold.
